text,human_label,ai_label
"MIT Selects Its First Female President (Reuters) Reuters - The Massachusetts Institute of\Technology on Thursday named Susan Hockfield as its first\female president, a breakthrough for the world-renowned school\that has churned out more than 50 Nobel prizewinners but which\ranks below the national average for its percentage of female\students.",Sci/Tech,Sci/Tech
"Cold sends oil price above \$44 Oil futures prices have jumped 5 percent higher, climbing above \$44 a barrel in the United States Wednesday after US government data showed a slight decline in crude and heating oil supplies as colder weather in the Northeast drove up ",Business,Business
"50 Hurt During Opposition Strike in Bangladesh Capital In Bangladesh, at least 50 people have been injured in clashes with authorities during a general strike called by the main opposition party.",World,World
"Blue Jays activate Halladay from DL Bronx, NY (Sports Network) - The Toronto Blue Jays activated pitcher Roy Halladay from the 15-day disabled list and he is expected to start Tuesday #39;s game against the New York Yankees.",Sports,Sports
Trinidad climbs off canvas to keep title options open Felix Trinidad returned to the ring after more than two years to score a thrilling eighth-round stoppage of Ricardo Mayorga at New York #39;s Madison Square Garden in a non- title bout being described as one of the fights of the year.,Sports,Sports
"New PC Is Created Just for Teenagers (AP) AP - This isn't your typical, humdrum, slate-colored computer. Not only is the PC known as the hip-e almost all white, but its screen and keyboard are framed in fuzzy pink fur. Or a leopard skin design. Or a graffiti-themed pattern.",Sci/Tech,Sci/Tech
"Broncos #39; rout frustrates Saints owner NEW ORLEANS -- Another blowout loss left New Orleans owner Tom Benson furious and wondering whether his team belonged in the NFL. Reuben Droughns rushed for 166 yards and a touchdown, Jake Plummer threw for ",Sports,Sports
"No Time Frame for Yuan Move -China  WASHINGTON (Reuters) - There is no time frame for a shift  away from Beijing's tight currency peg and the United States is  mistaken if it thinks it will reap big benefits from a move, a  top Chinese central bank official said on Sunday.",World,Business
"Cdn X Prize team postpones launch KINDERSLEY, Sask. (CP) -- A Canadian team of engineers competing in an international race to put civilians into space has postponed its first stab at the \$10-million prize.",Sci/Tech,Sci/Tech
NBA Wrap: Returning Trio Help Pistons End Skid  NEW YORK (Reuters) - Chauncey Billups scored 21 points in  his return to the line-up as the host Detroit Pistons also  welcomed back coach Larry Brown and Ben Wallace with a 93-85  triumph over the Minnesota Timberwolves Wednesday.,Sports,Sports
"American Forces Bomb Site in Fallujah (AP) AP - American forces bombed a site in the insurgent stronghold of Fallujah early Tuesday where several militants loyal to terror mastermind Abu Musab al-Zarqawi were believed to be holed up, the U.S. military said.",World,World
"Ward represents US boxing team #39;s lone chance for gold The underperforming US boxing team lost one of its two Andres Friday when middleweight Dirrell lost his semifinal bout to Kazakhstan #39;s Gennadiy Golovkin, falling out on points, 23-18.",Sports,Sports
"Musharraf is urged to quit KARACHI: President Pervez Musharraf would be violating the constitution if he reneged on his pledge to step down as army chief later this year, a former chief justice of Pakistan #39;s Supreme Court said yesterday.",World,World
2 Cable Giants Set To Bid for Adelphia Comcast Corp. and Time Warner Inc. are planning a joint bid for Adelphia Communications Corp. as part of a deal that could lead to a broad realignment of interests in the cable industry and increase Comcast's already dominant presence in the mid-Atlantic region.,Business,Business
"Two more Americans fail to master Olympic boxing style No chance, Dad. The best amateur boxers know just how to move and exactly when to pounce -- and three Americans who failed to match that style are out of the Olympics. ",Sports,Sports
"Longhorns top No. 1 team for first time since  #39;87 As she stood before the national TV cameras after an All-America type game, Texas sophomore center Tiffany Jackson calmly talked about the inspiration that comes from facing tradition-rich Tennessee.",Sports,Sports
"Piper Rudnick to Merge With Big British Firm Piper Rudnick Gray Cary LLP, a law firm with major operations in Washington, agreed over the weekend to merge with British firm DLA LLP, creating one of the largest combinations ever of law firms from different countries.",Business,Business
"Leaders Attend UAE President #39;s Funeral The United Arab Emirates appointed Sheik Khalifa bin Zayed Al Nahyan as its president Wednesday, hours after burying his father in a funeral that attracted thousands of mourners and nine heads of state to this desert nation on the Arabian Peninsula.",World,World
"Texas Firm Targets Teens With Package Of Digital Features Teenagers tend to like instant messaging, TV watching, net surfing, music listening, and shopping, so an Austin, Texas, company has decided to package digital features coveted by teenagers in a PC targeted specifically at teenaged ...",Sci/Tech,Sci/Tech
"Jobless Claims Up, Hurricane a Factor  WASHINGTON (Reuters) - New claims for U.S. jobless benefits  rose in the latest week, but the gain was largely blamed on  Hurricane Charley, the government said on Thursday.",World,Business
 #39;Blog #39; tops words of the year A four-letter term that came to symbolize the difference between old and new media during this year #39;s presidential campaign tops US dictionary publisher Merriam-Webster #39;s list of the 10 words of the year.,World,Sci/Tech
Forex: Dollar Falls After Fed Rate Hike  NEW YORK (Reuters) - The dollar extended its losses on  Tuesday after the Federal Reserve raised interest rates as  expected but signaled that both inflation and inflation  expectations were easing.,Business,Business
"Software As a Service Is Poised for Rebound (Ziff Davis) Ziff Davis - The services we once expected from ASPs are back, but now we refer to them as business process outsourcing.",Business,Business
"Kerry Chides Bush on Assault Weapons Ban WASHINGTON - Sen. John Kerry sought to make President Bush pay a political price Monday for the expiration of a partial assault weapons ban, but other Democrats reacted warily on an issue that has hurt the party in recent elections...",World,World
Button contract squabble delayed Jenson Button should learn his Formula One fate prior to the final race of the season in Brazil. The Contracts Recognition Board has adjourned its hearing into the messy contract affair between BMW-Williams ,Sports,Sports
"Aznar Denies Madrid Bombs Were Linked to Iraq War  MADRID (Reuters) - Former Prime Minister Jose Maria Aznar  said Islamic militants tried to use the Madrid train bombings  to oust the pro-U.S. ruling party from power in Spain, but not  because of its support for the Iraq war.",World,World
"Iraq Seeks Troops to Protect UN Staff UNITED NATIONS Sept. 14, 2004 - Iraq appealed to other nations Tuesday to send troops to protect an expanded UN staff that is essential for holding the country #39;s first free elections by Jan. 31, saying terrorists must not be allowed to disrupt the vote.",World,World
Special teams can #39;t handle Randle El The Pittsburgh Steelers #39; Antwaan Randle El posted back-to-back returns of 60 and 43 yards in the first half at Heinz Field. Those big plays set up 10 points ,Sports,Sports
"Indian peace move brightens hope for Kashmir peace (Reuters) Reuters - Kashmiris weary of years of violence welcomed on Friday the governments surprising offer to reduce the number of its troops in the Himalayan territory, a move that could prompt old foe Pakistan to respond similarly.",World,World
"Knicks Nudge Rockets 93-92 at Buzzer (AP) AP - Jamal Crawford banked in a 3-pointer at the buzzer to send the New York Knicks to their first road win of the season, 93-92 over the reeling Houston Rockets on Thursday night.",Sports,Sports
